Country,Region,24 February 2020,25 February 2020,26 February 2020,27 February 2020,28 February 2020,29 February 2020,1 March 2020,2 March 2020,3 March 2020,4 March 2020,5 March 2020,6 March 2020,7 March 2020,8 March 2020,9 March 2020,10 March 2020,11 March 2020,12 March 2020,13 March 2020,14 March 2020,15 March 2020,16 March 2020
Germany,Baden-Württemberg,0,1,3,6,10,14,15,19,26,44,65,91,116,182,199,237,277,454,454,569,827,1105
Germany,Bavaria,14,14,14,14,15,15,19,25,35,48,52,79,117,148,256,314,366,500,558,681,886,1067
Germany,Berlin,0,0,0,0,0,0,0,1,3,6,9,15,24,28,40,48,90,137,174,216,283,300
Germany,Brandenburg,0,0,0,0,0,0,0,0,1,1,1,1,2,2,6,9,24,30,44,61,84,94
Germany,Bremen,0,0,0,0,0,0,1,1,1,2,3,3,4,4,4,4,21,38,42,50,53,56
Germany,Hamburg,0,0,0,0,0,0,1,1,2,2,8,8,12,13,17,29,48,88,99,158,162,260
Germany,Hesse,0,0,0,0,0,3,8,10,10,12,14,15,16,17,20,35,48,99,148,203,286,342
Germany,Mecklenburg-Vorpommern,0,0,0,0,0,0,0,0,0,3,4,5,5,7,8,13,17,23,33,45,50,51
Germany,Lower Saxony,0,0,0,0,0,0,1,1,1,4,10,18,19,21,33,49,75,129,230,253,287,391
Germany,North Rhine-Westphalia,0,1,2,4,25,30,66,86,101,111,175,281,346,392,484,648,801,688,936,1154,1407,1541
Germany,Rhineland-Palatinate,0,0,0,0,0,1,2,2,2,2,7,8,10,15,19,25,25,52,102,121,168,325
Germany,Saarland,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,7,14,14,40,40,32,85
Germany,Saxony,0,0,0,0,0,0,0,0,1,1,1,1,2,4,10,22,26,45,83,93,130,140
Germany,Saxony-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,27,42,45,47,77
Germany,Schleswig-Holstein,0,0,0,0,1,1,2,2,2,2,3,7,8,8,9,9,27,31,48,60,103,123
Germany,Thuringia,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,10,14,29,46,51,55
Germany,Repatriated,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
