"Region","Hospitalized with symptoms","Intensive Care","Home isolation","Total currently positive","Recovered","Deceased","Total cases","Tested"
Lombardia, 6953, 879, 4263, 12095, 2485, 1640, 16220, 46449
Emilia Romagna, 1566, 223, 1615, 3404, 134, 393, 3931, 14510
Veneto, 548, 171, 1769, 2488, 136, 80, 2704, 35478
Piemonte, 1378, 206, 180, 1764, 0, 133, 1897, 6543
Marche, 599, 109, 594, 1302, 0, 69, 1371, 3225
Toscana, 329, 143, 552, 1024, 12, 17, 1053, 6727
Liguria, 299, 85, 277, 661, 57, 60, 778, 2509
Lazio, 314, 44, 192, 550, 34, 23, 607, 9436
Campania, 127, 24, 272, 423, 28, 9, 460, 2685
Friuli V.G., 104, 21, 222, 347, 17, 30, 394, 4958
Trento, 107, 22, 239, 368, 10, 7, 385, 1727
Bolzano, 71, 11, 200, 282, 1, 8, 291, 2149
Puglia, 155, 14, 151, 320, 2, 18, 340, 3077
Sicilia, 86, 28, 112, 226, 8, 3, 237, 2916
Abruzzo, 94, 32, 90, 216, 7, 6, 229, 1688
Umbria, 36, 21, 135, 192, 4, 1, 197, 1323
Valle d'Aosta, 35, 6, 93, 134, 0, 2, 136, 398
Sardegna, 36, 4, 75, 115, 0, 2, 117, 1003
Calabria, 45, 10, 57, 112, 1, 1, 114, 1293
Molise, 7, 5, 7, 19, 5, 1, 25, 301
Basilicata, 5, 2, 13, 20, 0, 0, 20, 262
TOTALE, 12894, 2060, 11108, 26062, 2941, 2503, 31506, 148657
