"Region","Hospitalized with symptoms","Intensive Care","Home isolation","Total currently positive","Recovered","Deceased","Total cases","Tested"
"Lombardia",4898,732,3429,9059,1660,966,11685,37138
"Emilia Romagna",1076,152,1121,2349,54,241,2644,10043
"Veneto",366,119,1290,1775,107,55,1937,26980
"Marche",449,93,321,863,0,36,899,2561
"Piemonte",538,150,126,814,0,59,873,3680
"Toscana",160,87,367,614,10,6,630,4595
"Liguria",213,62,109,384,52,27,463,1750
"Lazio",181,25,114,320,24,13,357,7335
"Campania",72,17,154,243,23,6,272,1936
"Friuli V.G.",67,11,193,271,17,13,301,3376
"Trento",68,12,119,199,5,2,206,1006
"Bolzano",26,7,137,170,0,3,173,1135
"Puglia",91,6,59,156,2,8,166,1681
"Sicilia",42,11,97,150,4,2,156,2100
"Umbria",21,11,71,103,3,1,107,748
"Abruzzo",51,14,41,106,4,2,112,1232
"Calabria",22,4,33,59,1,0,60,711
"Sardegna",14,0,33,47,0,0,47,530
"Valle d'Aosta",12,0,29,41,0,1,42,231
"Molise",5,3,9,17,0,0,17,247
"Basilicata",2,8,10,0,0,10,155
"Total",8372,1518,7860,17750,1966,1441,21157,109170
