"Category";"Aantal"
"Aalsmeer";3
"Albrandswaard";1
"Alkmaar";1
"Almelo";1
"Almere";2
"Alphen aan den Rijn";6
"Alphen-Chaam";1
"Altena";10
"Amersfoort";10
"Amstelveen";3
"Amsterdam";31
"Apeldoorn";3
"Arnhem";7
"Asten";1
"Barendrecht";3
"Barneveld";2
"Beek";3
"Beekdaelen";12
"Berg en Dal";6
"Bergeijk";1
"Bergen (NH.)";1
"Bergen op Zoom";4
"Bernheze";16
"Best";3
"Beuningen";4
"Beverwijk";5
"Bladel";1
"Blaricum";1
"Bloemendaal";1
"Bodegraven-Reeuwijk";1
"Boekel";12
"Borne";3
"Borsele";1
"Boxmeer";1
"Boxtel";2
"Breda";71
"Bronckhorst";2
"Buren";2
"Castricum";5
"Coevorden";11
"Cranendonck";2
"Cuijk";2
"Culemborg";2
"Dalfsen";1
"De Bilt";12
"De Fryske Marren";3
"De Wolden";1
"Delft";2
"Den Helder";1
"Deurne";4
"Deventer";1
"Diemen";2
"Dinkelland";4
"Doesburg";1
"Dongen";5
"Dordrecht";1
"Drimmelen";5
"Dronten";6
"Druten";5
"Duiven";1
"Ede";1
"Eersel";2
"Eijsden-Margraten";3
"Eindhoven";21
"Elburg";1
"Emmen";1
"Enschede";3
"Ermelo";7
"Etten-Leur";8
"Geertruidenberg";1
"Geldrop-Mierlo";2
"Gemert-Bakel";16
"Gennep";1
"Gilze en Rijen";1
"Goeree-Overflakkee";2
"Goes";2
"Goirle";6
"Gooise Meren";4
"Gouda";3
"Groningen";6
"Gulpen-Wittem";1
"Haaksbergen";1
"Haaren";7
"Haarlem";4
"Haarlemmermeer";1
"Harderwijk";2
"Hardinxveld-Giessendam";5
"Heemskerk";1
"Heemstede";2
"Heerhugowaard";1
"Heerlen";5
"Heeze-Leende";1
"Heiloo";2
"Hellendoorn";2
"Hellevoetsluis";1
"Helmond";17
"Heumen";2
"Heusden";4
"Hilvarenbeek";5
"Hoeksche Waard";2
"Hof van Twente";1
"Hoogeveen";2
"Horst aan de Maas";3
"Houten";13
"Huizen";1
"IJsselstein";2
"Katwijk";1
"Kerkrade";2
"Koggenland";1
"Krimpen aan den IJssel";1
"Krimpenerwaard";4
"Laarbeek";1
"Landerd";5
"Landgraaf";4
"Landsmeer";3
"Langedijk";4
"Lansingerland";5
"Leeuwarden";1
"Leiden";4
"Leidschendam-Voorburg";3
"Lelystad";7
"Leudal";6
"Lingewaard";3
"Loon op Zand";7
"Maasgouw";2
"Maassluis";1
"Maastricht";21
"Meierijstad";34
"Midden-Groningen";1
"Mill en Sint Hubert";1
"Moerdijk";1
"Molenlanden";1
"Neder-Betuwe";4
"Nederweert";3
"Nieuwegein";1
"Nieuwkoop";1
"Nijmegen";12
"Nissewaard";1
"Noordoostpolder";2
"Noordwijk";2
"Nuenen, Gerwen en Nederwetten";1
"Nunspeet";1
"Oegstgeest";4
"Oisterwijk";6
"Oldebroek";1
"Oldenzaal";1
"Ommen";1
"Oosterhout";5
"Opsterland";2
"Oss";5
"Oudewater";1
"Overbetuwe";6
"Peel en Maas";14
"Pekela";1
"Pijnacker-Nootdorp";7
"Purmerend";2
"Raalte";1
"Reimerswaal";1
"Renkum";8
"Rheden";1
"Ridderkerk";1
"Roermond";2
"Roosendaal";5
"Rotterdam";25
"Rozendaal";1
"Rucphen";1
"Schagen";4
"Schiedam";1
"Schouwen-Duiveland";2
"'s-Gravenhage";10
"'s-Hertogenbosch";14
"Simpelveld";3
"Sint Anthonis";2
"Sint-Michielsgestel";6
"Sittard-Geleen";37
"Sluis";1
"Smallingerland";3
"Soest";8
"Someren";1
"Son en Breugel";2
"Staphorst";1
"Steenbergen";1
"Stein";3
"Stichtse Vecht";7
"Súdwest-Fryslân";1
"Terneuzen";1
"Tholen";1
"Tiel";3
"Tilburg";68
"Tubbergen";1
"Uden";33
"Utrecht";38
"Utrechtse Heuvelrug";2
"Veenendaal";1
"Veere";1
"Veldhoven";1
"Velsen";1
"Venlo";4
"Vijfheerenlanden";2
"Vlaardingen";1
"Vlissingen";2
"Voorst";1
"Vught";2
"Waalre";1
"Waalwijk";8
"Waddinxveen";1
"Wassenaar";2
"Waterland";2
"West Betuwe";3
"West Maas en Waal";3
"Westerkwartier";1
"Westland";1
"Westvoorne";3
"Wijchen";4
"Wijk bij Duurstede";3
"Woerden";2
"Woudenberg";1
"Zaanstad";2
"Zaltbommel";1
"Zandvoort";1
"Zeewolde";2
"Zeist";6
"Zundert";3
"Zwartewaterland";2
"Zwijndrecht";3
"Zwolle";4
