"Category";"Aantal"
"Aalsmeer";3
"Albrandswaard";2
"Alkmaar";2
"Almelo";1
"Almere";3
"Alphen aan den Rijn";6
"Alphen-Chaam";2
"Altena";12
"Amersfoort";18
"Amstelveen";4
"Amsterdam";39
"Apeldoorn";7
"Arnhem";7
"Asten";1
"Barendrecht";3
"Barneveld";3
"Beek";3
"Beekdaelen";13
"Berg en Dal";10
"Bergeijk";1
"Bergen (NH.)";1
"Bergen op Zoom";4
"Bernheze";19
"Best";4
"Beuningen";5
"Beverwijk";5
"Bladel";1
"Blaricum";1
"Bloemendaal";1
"Bodegraven-Reeuwijk";1
"Boekel";14
"Borne";3
"Borsele";2
"Boxmeer";1
"Boxtel";3
"Breda";86
"Bronckhorst";2
"Buren";4
"Castricum";5
"Coevorden";11
"Cranendonck";2
"Cuijk";2
"Culemborg";2
"Dalfsen";1
"De Bilt";13
"De Fryske Marren";3
"De Ronde Venen";2
"De Wolden";1
"Delft";2
"Den Helder";1
"Deurne";5
"Deventer";2
"Diemen";2
"Dinkelland";5
"Doesburg";1
"Dongen";5
"Dordrecht";1
"Drimmelen";7
"Dronten";7
"Druten";5
"Duiven";1
"Ede";2
"Eersel";2
"Eijsden-Margraten";4
"Eindhoven";21
"Elburg";1
"Emmen";1
"Enkhuizen";1
"Enschede";3
"Epe";2
"Ermelo";8
"Etten-Leur";10
"Geertruidenberg";3
"Geldrop-Mierlo";3
"Gemert-Bakel";20
"Gennep";1
"Gilze en Rijen";1
"Goeree-Overflakkee";4
"Goes";2
"Goirle";9
"Gooise Meren";4
"Gouda";4
"Groningen";7
"Gulpen-Wittem";2
"Haaksbergen";1
"Haaren";7
"Haarlem";6
"Haarlemmermeer";2
"Halderberge";2
"Harderwijk";4
"Hardinxveld-Giessendam";5
"Harlingen";1
"Heemskerk";2
"Heemstede";5
"Heerde";2
"Heerhugowaard";1
"Heerlen";6
"Heeze-Leende";2
"Heiloo";3
"Hellendoorn";2
"Hellevoetsluis";1
"Helmond";17
"Hengelo";3
"Heumen";2
"Heusden";4
"Hilvarenbeek";4
"Hoeksche Waard";4
"Hof van Twente";1
"Hoogeveen";2
"Hoorn";1
"Horst aan de Maas";5
"Houten";13
"Huizen";1
"IJsselstein";4
"Katwijk";1
"Kerkrade";2
"Koggenland";1
"Krimpen aan den IJssel";1
"Krimpenerwaard";4
"Laarbeek";1
"Landerd";10
"Landgraaf";4
"Landsmeer";3
"Langedijk";4
"Lansingerland";5
"Leeuwarden";2
"Leiden";8
"Leiderdorp";1
"Leidschendam-Voorburg";4
"Lelystad";8
"Leudal";7
"Leusden";1
"Lingewaard";3
"Loon op Zand";7
"Lopik";1
"Maasgouw";2
"Maassluis";1
"Maastricht";24
"Meerssen";1
"Meierijstad";42
"Middelburg";1
"Midden-Groningen";1
"Mill en Sint Hubert";1
"Moerdijk";1
"Molenlanden";2
"Neder-Betuwe";4
"Nederweert";3
"Nieuwegein";1
"Nieuwkoop";1
"Nijkerk";1
"Nijmegen";17
"Nissewaard";1
"Noordenveld";1
"Noordoostpolder";2
"Noordwijk";2
"Nuenen, Gerwen en Nederwetten";1
"Nunspeet";2
"Oegstgeest";4
"Oirschot";1
"Oisterwijk";9
"Oldebroek";2
"Oldenzaal";1
"Ommen";1
"Oosterhout";6
"Opsterland";2
"Oss";11
"Oude IJsselstreek";1
"Oudewater";1
"Overbetuwe";8
"Peel en Maas";19
"Pekela";1
"Pijnacker-Nootdorp";8
"Purmerend";2
"Putten";2
"Raalte";2
"Reimerswaal";2
"Renkum";8
"Rheden";1
"Ridderkerk";1
"Rijswijk";1
"Roermond";2
"Roosendaal";6
"Rotterdam";30
"Rozendaal";1
"Rucphen";1
"Schagen";4
"Schiedam";1
"Schouwen-Duiveland";2
"'s-Gravenhage";14
"'s-Hertogenbosch";20
"Simpelveld";3
"Sint Anthonis";3
"Sint-Michielsgestel";8
"Sittard-Geleen";38
"Sluis";2
"Smallingerland";3
"Soest";10
"Someren";1
"Son en Breugel";4
"Staphorst";1
"Stede Broec";1
"Steenbergen";2
"Stein";3
"Stichtse Vecht";7
"Súdwest-Fryslân";1
"Terneuzen";1
"Teylingen";1
"Tholen";1
"Tiel";4
"Tilburg";84
"Tubbergen";1
"Tytsjerksteradiel";1
"Uden";43
"Utrecht";48
"Utrechtse Heuvelrug";3
"Valkenburg aan de Geul";1
"Veenendaal";1
"Veere";1
"Veldhoven";1
"Velsen";4
"Venlo";6
"Vijfheerenlanden";3
"Vlaardingen";1
"Vlissingen";3
"Voorst";1
"Vught";3
"Waalre";1
"Waalwijk";10
"Waddinxveen";1
"Wassenaar";3
"Waterland";3
"West Betuwe";3
"West Maas en Waal";3
"Westerkwartier";1
"Westland";1
"Westvoorne";3
"Wijchen";5
"Wijk bij Duurstede";3
"Woerden";2
"Woudenberg";1
"Zaanstad";2
"Zaltbommel";1
"Zandvoort";1
"Zeewolde";2
"Zeist";8
"Zundert";3
"Zwartewaterland";2
"Zwijndrecht";3
"Zwolle";6
