Date,31/01/2020,09/02/2020,24/02/2020,25/02/2020,27/02/2020,28/02/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020
Time,N/A,N/A,N/A,N/A,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00,11:30,11:30,11:30
Andalusia,0,0,0,0,1,5,6,1,0,-1,9,33,17,19,25,104,50,168,117
Aragon,0,0,0,0,0,1,-1,0,0,1,5,7,25,7,19,16,0,67,27
Asturias,0,0,0,0,0,0,1,0,1,3,0,2,15,10,15,20,25,45,40
Belaric Islands,0,1,0,0,0,0,1,0,3,1,0,5,2,3,6,8,-2,0,45
Canary Islands,1,0,4,0,1,0,1,0,0,1,3,11,3,12,14,19,20,19,10
Cantabria,0,0,0,0,0,0,10,0,0,0,0,2,0,0,4,13,2,20,7
Castilla La Mancha,0,0,0,0,0,0,3,4,5,1,2,11,13,32,44,79,95,112,166
Castilla y Leon,0,0,0,1,-1,2,1,5,3,0,3,9,33,15,21,77,54,69,42
Catalonia,0,0,0,1,1,1,12,0,0,9,0,51,49,32,104,56,193,206,188
Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Valencian Community,0,0,0,0,2,6,7,0,4,0,11,7,13,15,11,18,36,279,0
Extremadura,0,0,0,0,0,0,6,0,0,0,0,1,1,1,10,20,27,29,16
Galicia,0,0,0,0,0,0,0,0,1,0,2,3,16,17,-4,50,30,80,50
Madrid,0,0,0,2,2,1,24,20,21,20,47,332,313,242,364,602,950,604,625
Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0
Murcia,0,0,0,0,0,0,0,0,0,0,0,4,5,2,15,9,12,24,6
Navarre,0,0,0,0,0,0,1,0,2,0,0,0,9,34,27,57,16,37,91
Basque Country,0,0,0,0,0,0,9,4,4,0,28,104,46,30,121,71,0,213,0
La Rioja,0,0,0,0,0,0,1,2,4,4,18,52,63,35,26,38,35,22,12
